epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3677,1.65565,4.40583,1.54559,0.36072,0.45161,0.31128,0.17803,1.4088,3.24144,1.26417,0.00014,0.00014,0.00014
2,29.6939,1.44674,3.86075,1.36269,0.59734,0.58065,0.5209,0.34224,1.10325,4.69736,1.07468,0.00029703,0.00029703,0.00029703
3,35.8827,1.10001,1.9492,1.20064,0.70225,0.83871,0.81761,0.55293,0.97755,4.71575,1.01201,0.000450892,0.000450892,0.000450892
4,41.0682,1.00567,1.30474,1.17457,0.71641,0.64516,0.7016,0.4595,1.25959,3.13519,1.15902,0.000601586,0.000601586,0.000601586
5,47.0741,1.02755,1.26169,1.19743,0.36459,0.6129,0.41065,0.19002,1.63028,6.51678,1.59024,0.000749112,0.000749112,0.000749112
6,52.6853,0.96101,1.09621,1.1328,0.30942,0.32258,0.21767,0.12012,1.81369,3.21893,1.90541,0.00089347,0.00089347,0.00089347
7,57.6146,1.10381,1.216,1.26823,0.01744,0.19355,0.0125,0.00498,2.53196,47.4279,4.92209,0.00103466,0.00103466,0.00103466
8,63.9023,1.1121,1.15179,1.19744,0.00343,0.45161,0.00352,0.00119,2.74294,inf,3.7881,0.00117268,0.00117268,0.00117268
9,69.5708,1.04926,1.02537,1.20544,0.00231,0.45161,0.00185,0.00056,3.40481,inf,6.21585,0.00130754,0.00130754,0.00130754
10,75.3123,0.97534,0.97525,1.15835,0.00294,0.51613,0.00277,0.00086,3.17899,310.898,4.94569,0.00143922,0.00143922,0.00143922
11,80.7213,1.16198,1.22835,1.29224,0.0546,0.48387,0.04486,0.02078,1.85566,28.3867,2.37453,0.00156774,0.00156774,0.00156774
12,85.7242,0.9444,0.91032,1.11662,0.60141,0.64516,0.62127,0.3829,1.39055,2.02434,1.45846,0.00169309,0.00169309,0.00169309
13,91.4748,0.9254,0.88678,1.13029,0.63757,0.56776,0.61026,0.36997,1.58113,4.83915,1.74942,0.0017624,0.0017624,0.0017624
14,96.5602,0.98289,0.9643,1.17677,0.57038,0.25806,0.28297,0.19403,2.07138,5.91811,2.14649,0.0017426,0.0017426,0.0017426
15,102.019,0.92753,0.83512,1.12755,0.30594,0.3871,0.28558,0.18296,1.34935,7.97086,1.32324,0.0017228,0.0017228,0.0017228
16,107.558,0.97738,0.97053,1.16237,0.46892,0.32258,0.27634,0.15294,2.11636,3.22478,2.25604,0.001703,0.001703,0.001703
17,112.564,0.85178,1.03967,1.01047,0.54963,0.19355,0.17181,0.10884,2.74511,3.72241,2.82929,0.0016832,0.0016832,0.0016832
18,118.545,0.8544,0.8265,1.08609,0.50124,0.58065,0.59816,0.47837,1.0083,4.80285,1.16507,0.0016634,0.0016634,0.0016634
19,123.681,0.84637,0.73639,1.0819,0.80094,0.77889,0.83877,0.55891,1.09074,2.11613,1.28162,0.0016436,0.0016436,0.0016436
20,129.084,0.84499,0.72505,1.0743,0.76323,0.64516,0.77751,0.5856,0.86433,2.66847,0.99782,0.0016238,0.0016238,0.0016238
21,134.793,0.79629,0.70772,1.06629,0.85753,0.74194,0.84494,0.67675,0.81953,3.24585,0.97711,0.001604,0.001604,0.001604
22,142.454,0.8598,0.77974,1.07454,0.48747,0.73645,0.62303,0.47149,0.95268,2.79496,1.08202,0.0015842,0.0015842,0.0015842
23,148.481,0.84543,1.06772,1.15191,0.69725,0.6129,0.62619,0.48395,1.0489,1.71705,1.25979,0.0015644,0.0015644,0.0015644
